Nr,Amt,Bemerkungen
1177,"Hofzimmerpollier Vize",
1178,"Titular Hofkaplan",
1179,"Holzinspektor in Schönbrunn",
222,"Oberster Falkenmeister",
1180,"interimistischer Musikdirektor",
1181,"Zweiter Obertapezier",
1183,"Kammermusiker",
1184,"Zweiter Rossarzt",
1185,"Hausknecht im KZA",
280,"Zehrgaden Gegenschreiber",
573,"Hofdolmetsch für Schwedisch",
619,"Kapellenbeneficiat",
93,"Campagne Schmied",
174,"HofriemerIn",
433,"LeibkürschnerIn",
582,"Edelknaben Tanzmeister",
495,"Galerie- und Kunstkammer Inspektor Adjunkt",
488,"Zehrgaden Schreiber",
421,"Konzertdispensator Adjunkt",
444,"Kammergoldarbeiter Adjunkt",
570,"Jägerei Chirurg",
525,"Revisorkassier",
435,"Schlosshauptmann in der Neustadt",
180,"Wagenschmied",
247,"Zimmerwärter in Ebersdorf",
659,"Oberster Hofküchenmeister Vize",
616,"Guarde de Damesin Gehilfin",
434,"Expeditor Adjunkt",
35,"Hofkontrollor",
215,"Revisoringrossist",
216,"Unterbereiter der Camp. Reitschule",
3,"Oberster Hofstäbelmeister",
162,"Sattelknecht",
483,"Zimmerwärter in der Burg",
161,"Sattelknecht Adjunkt",
4,"Oberster Silberkämmerer",
54,"Hofdolmetsch für Polnisch u. Russisch",
55,"Hof- und Lustgebäudeinspektor",
120,"Perückenmacher",
851,"Kontrollierender Kanzlist im Taxamt",
593,"Adel. Arcieren Adjutant",
251,"Küchenmensch",
253,"Küchenträger",
476,"Klostergebäude Portier",
299,"Garderobe Gehilfe",
365,"Perückenmacher Adjunkt",
317,"Kontraaltist",
319,"Partausteiler",
556,"Hofgärten-und Früchteinspektor",
427,"Kammerbarometermacher",
460,"Kammerbildhauer",
111,"Kammerfourier",
117,"Edelknaben Sprachmeister",
426,"Kammeruhrmacher",
356,"Kammerjuwelier",
868,"Praktikant der Familiengüterbuchhalterei",
428,"Kammermedaillier",
246,"Kammernäherin",
245,"Kammermensch",
431,"Kammerschlosser",
432,"Kammerstickerin",
518,"Kammerweib",
622,"Kammerzahlamtsoffizier",
500,"Zuckerbäcker, Erster",
578,"Jagdschmied",
591,"Adel. Arcieren Auditor",
515,"Schlossinspektor in Schönbrunn",
501,"Zimmerwärter Adjunkt in der Burg",
484,"Zimmerwärter in der Stallburg",
662,"Hofkontrollor Tafeldecker",
663,"Hofkontrollor Tafeldecker Gehilfe",
366,"Vizehofkontrollor",
633,"Hofkontrollor Akzessist",
395,"Hofkontrollor Amtschreiber",
563,"Schlosshauptmann in Hetzendorf",
